date,news_sentiment,news_volume,tweet_sentiment,tweet_volume,total_engagement_weight,combined_sentiment,confidence,sentiment_category
2017-08-17,0.1872,6.0,-0.0009,66.0,16149.0,0.0743,1.0,Neutral
2017-08-18,0.22,7.0,-0.0009,66.0,16149.0,0.0875,1.0,Neutral
2017-08-19,0.4523,4.0,-0.0009,66.0,16149.0,0.1804,1.0,Positive
2017-08-20,0.0063,1.0,-0.0009,66.0,16149.0,0.002,1.0,Neutral
2017-08-21,0.825,3.0,-0.0009,66.0,16149.0,0.3295,1.0,Very Positive
2017-08-22,0.583,5.0,-0.0009,66.0,16149.0,0.2327,1.0,Positive
2017-08-23,0.6706,5.0,-0.0009,66.0,16149.0,0.2677,1.0,Positive
2017-08-24,-0.0483,9.0,-0.0009,66.0,16149.0,-0.0199,1.0,Neutral
2017-08-25,0.1922,4.0,-0.0009,66.0,16149.0,0.0763,1.0,Neutral
2017-08-26,0.548,3.0,-0.0009,66.0,16149.0,0.2187,1.0,Positive
2017-08-28,0.1535,3.0,-0.0009,66.0,16149.0,0.0609,1.0,Neutral
2017-08-29,0.8463,2.0,-0.0009,66.0,16149.0,0.338,1.0,Very Positive
2017-08-30,0.5829,2.0,-0.0009,66.0,16149.0,0.2326,1.0,Positive
2017-08-31,0.5592,2.0,-0.0009,66.0,16149.0,0.2231,1.0,Positive
2017-09-01,0.5549,5.0,-0.0009,66.0,16149.0,0.2214,1.0,Positive
2017-09-02,-0.4805,1.0,-0.0009,66.0,16149.0,-0.1927,1.0,Negative
2017-09-03,0.6495,3.0,-0.0009,66.0,16149.0,0.2593,1.0,Positive
2017-09-04,-0.0506,3.0,-0.0009,66.0,16149.0,-0.0208,1.0,Neutral
2017-09-05,0.1897,2.0,-0.0009,66.0,16149.0,0.0753,1.0,Neutral
2017-09-07,-0.0001,1.0,-0.0009,66.0,16149.0,-0.0006,1.0,Neutral
2017-09-08,0.7646,2.0,-0.0009,66.0,16149.0,0.3053,1.0,Very Positive
2017-09-09,-0.0825,3.0,-0.0009,66.0,16149.0,-0.0335,1.0,Neutral
2017-09-10,-0.6918,1.0,-0.0009,66.0,16149.0,-0.2773,1.0,Negative
2017-09-11,0.0199,3.0,-0.0009,66.0,16149.0,0.0074,1.0,Neutral
2017-09-12,0.3355,3.0,-0.0009,66.0,16149.0,0.1337,1.0,Positive
2017-09-13,0.5479,5.0,-0.0009,66.0,16149.0,0.2186,1.0,Positive
2017-09-14,0.2491,4.0,-0.0009,66.0,16149.0,0.0991,1.0,Neutral
2017-09-15,0.4811,7.0,-0.0009,66.0,16149.0,0.1919,1.0,Positive
2017-09-16,0.594,1.0,-0.0009,66.0,16149.0,0.2371,1.0,Positive
2017-09-18,0.5898,6.0,-0.0009,66.0,16149.0,0.2354,1.0,Positive
2017-09-19,0.274,5.0,-0.0009,66.0,16149.0,0.1091,1.0,Positive
2017-09-20,0.1079,4.0,-0.0009,66.0,16149.0,0.0426,1.0,Neutral
2017-09-21,0.1401,2.0,-0.0009,66.0,16149.0,0.0555,1.0,Neutral
2017-09-22,0.61,7.0,0.0222,93.0,33195.0,0.2573,1.0,Positive
2017-09-23,0.7893,3.0,0.2807,84.0,26592.0,0.4841,1.0,Very Positive
2017-09-24,0.8606,2.0,0.2309,49.0,14284.0,0.4828,1.0,Very Positive
2017-09-25,0.4738,5.0,0.2071,74.0,22099.0,0.3138,1.0,Very Positive
2017-09-26,0.641,3.0,0.0389,92.0,22289.0,0.2797,1.0,Positive
2017-09-27,0.6448,6.0,0.1207,116.0,34322.0,0.3303,1.0,Very Positive
2017-09-28,0.7197,5.0,0.1258,79.0,25523.0,0.3634,1.0,Very Positive
2017-09-29,0.3165,5.0,0.0573,75.0,29678.0,0.161,1.0,Positive
2017-09-30,0.7741,2.0,0.1254,74.0,21517.0,0.3849,1.0,Very Positive
2017-10-01,0.7183,1.0,0.1254,67.0,22129.0,0.3626,1.0,Very Positive
2017-10-02,0.7183,1.0,0.1997,86.0,28863.0,0.4071,1.0,Very Positive
2017-10-03,-0.3059,1.0,-0.0518,82.0,33924.0,-0.1534,1.0,Negative
2017-10-04,0.6201,3.0,0.1409,91.0,29032.0,0.3326,1.0,Very Positive
2017-10-05,0.6897,2.0,0.148,63.0,15766.0,0.3647,1.0,Very Positive
2017-10-06,0.45,6.0,0.2219,76.0,21157.0,0.3131,1.0,Very Positive
2017-10-07,0.7152,3.0,0.1694,82.0,32757.0,0.3877,1.0,Very Positive
2017-10-08,0.7152,3.0,0.1291,60.0,17610.0,0.3635,1.0,Very Positive
2017-10-09,0.7922,3.0,0.1092,93.0,23688.0,0.3824,1.0,Very Positive
2017-10-10,0.5044,5.0,0.0214,102.0,27611.0,0.2146,1.0,Positive
2017-10-11,0.4797,8.0,0.0684,91.0,26826.0,0.2329,1.0,Positive
2017-10-12,0.1464,13.0,0.0948,214.0,67036.0,0.1154,1.0,Positive
2017-10-13,0.4798,6.0,0.129,199.0,53488.0,0.2693,1.0,Positive
2017-10-14,-0.1525,3.0,0.045,117.0,78273.0,-0.034,1.0,Neutral
2017-10-15,-0.1525,3.0,0.1216,92.0,29476.0,0.012,1.0,Neutral
2017-10-16,0.557,3.0,0.138,100.0,33519.0,0.3056,1.0,Very Positive
2017-10-17,0.6027,5.0,0.1005,119.0,34178.0,0.3014,1.0,Very Positive
2017-10-18,0.4344,3.0,0.1703,72.0,24471.0,0.2759,1.0,Positive
2017-10-19,0.403,2.0,0.1477,91.0,32950.0,0.2498,1.0,Positive
2017-10-20,0.3064,5.0,0.2205,134.0,51212.0,0.2549,1.0,Positive
2017-10-21,0.162,4.0,0.1189,130.0,39165.0,0.1361,1.0,Positive
2017-10-22,0.162,4.0,0.1535,91.0,25703.0,0.1569,1.0,Positive
2017-10-23,0.5566,4.0,0.1954,125.0,38075.0,0.3399,1.0,Very Positive
2017-10-24,0.4938,9.0,0.0953,131.0,41558.0,0.2547,1.0,Positive
2017-10-25,0.2414,8.0,0.0948,108.0,29264.0,0.1534,1.0,Positive
2017-10-26,0.4168,8.0,0.1938,100.0,31286.0,0.283,1.0,Positive
2017-10-27,0.3674,9.0,0.1126,97.0,27354.0,0.2145,1.0,Positive
2017-10-28,0.492,5.0,0.1795,72.0,20612.0,0.3045,1.0,Very Positive
2017-10-29,0.492,5.0,0.0706,61.0,16028.0,0.2392,1.0,Positive
2017-10-30,-0.1063,6.0,0.1514,142.0,42251.0,0.0483,1.0,Neutral
2017-10-31,0.0194,11.0,0.1492,171.0,50055.0,0.0973,1.0,Neutral
2017-11-01,-0.0232,9.0,0.1607,163.0,45122.0,0.0871,1.0,Neutral
2017-11-02,-0.0838,9.0,0.0679,211.0,67366.0,0.0072,1.0,Neutral
2017-11-03,0.5859,7.0,0.1389,165.0,43164.0,0.3177,1.0,Very Positive
