date,news_sentiment,news_volume,tweet_sentiment,tweet_volume,total_engagement_weight,combined_sentiment,confidence,sentiment_category
2017-08-17,0.8159,1.0,0.0564,22.0,11693.0,0.3222,1.0,Very Positive
2017-08-18,0.9033,2.0,0.0564,22.0,11693.0,0.3528,1.0,Very Positive
2017-08-19,0.8351,1.0,0.0564,22.0,11693.0,0.3289,1.0,Very Positive
2017-08-22,0.7423,1.0,0.0564,22.0,11693.0,0.2965,1.0,Positive
2017-08-23,0.797,3.0,0.0564,22.0,11693.0,0.3156,1.0,Very Positive
2017-08-24,0.6221,1.0,0.0564,22.0,11693.0,0.2544,1.0,Positive
2017-08-25,0.3781,3.0,0.0564,22.0,11693.0,0.169,1.0,Positive
2017-08-26,0.7285,1.0,0.0564,22.0,11693.0,0.2916,1.0,Positive
2017-08-29,-0.0732,3.0,0.0564,22.0,11693.0,0.011,1.0,Neutral
2017-08-30,0.2095,1.0,0.0564,22.0,11693.0,0.11,1.0,Positive
2017-08-31,0.8911,1.0,0.0564,22.0,11693.0,0.3485,1.0,Very Positive
2017-09-01,0.898,1.0,0.0564,22.0,11693.0,0.351,1.0,Very Positive
2017-09-03,0.8348,1.0,0.0564,22.0,11693.0,0.3288,1.0,Very Positive
2017-09-04,0.7841,1.0,0.0564,22.0,11693.0,0.3111,1.0,Very Positive
2017-09-06,0.4816,1.0,0.0564,22.0,11693.0,0.2052,1.0,Positive
2017-09-07,0.3605,1.0,0.0564,22.0,11693.0,0.1628,1.0,Positive
2017-09-08,0.908,1.0,0.0564,22.0,11693.0,0.3545,1.0,Very Positive
2017-09-09,0.3015,4.0,0.0564,22.0,11693.0,0.1422,1.0,Positive
2017-09-10,0.5939,1.0,0.0564,22.0,11693.0,0.2445,1.0,Positive
2017-09-12,0.4175,2.0,0.0564,22.0,11693.0,0.1828,1.0,Positive
2017-09-13,0.6021,1.0,0.0564,22.0,11693.0,0.2474,1.0,Positive
2017-09-14,0.7232,2.0,0.0564,22.0,11693.0,0.2898,1.0,Positive
2017-09-15,0.8333,2.0,0.0564,22.0,11693.0,0.3283,1.0,Very Positive
2017-09-16,0.594,1.0,0.0564,22.0,11693.0,0.2446,1.0,Positive
2017-09-17,0.9102,1.0,0.0564,22.0,11693.0,0.3552,1.0,Very Positive
2017-09-18,0.9205,1.0,0.0564,22.0,11693.0,0.3588,1.0,Very Positive
