date,news_count,avg_volume,total_engagement_weight,sentiment_mean,weighted_sentiment_mean,sentiment_std,positive_mean,negative_mean,neutral_mean,pos_neg_ratio,sentiment_category,avg_price_change,up_ratio
2017-08-17,6,11.2328,14.3856,0.2857,0.1872,0.8291,0.6332,0.3475,0.0193,1.82,Positive,0.433,0.8333
2017-08-18,7,9.3408,25.488,0.2683,0.22,0.6108,0.5697,0.3014,0.1289,1.89,Positive,0.7188,0.2857
2017-08-19,4,4.5019,10.6929,0.4019,0.4523,0.4267,0.4739,0.072,0.4541,6.57,Very Positive,0.4958,0.75
2017-08-20,1,14.6748,1.1498,0.0063,0.0063,,0.0202,0.0139,0.9659,1.44,Neutral,0.0065,0.0
2017-08-21,3,1.4339,11.142,0.8138,0.825,0.0379,0.9,0.0863,0.0137,10.42,Very Positive,0.7209,0.3333
2017-08-22,5,6.7042,17.0268,0.3712,0.583,0.6536,0.5718,0.2006,0.2276,2.85,Very Positive,0.4088,0.4
2017-08-23,5,9.1102,13.9288,0.438,0.6706,0.7234,0.6782,0.2402,0.0817,2.82,Very Positive,0.6725,0.6
2017-08-24,9,7.326,16.8523,0.0844,-0.0483,0.7944,0.5075,0.4231,0.0694,1.2,Neutral,0.3326,0.2222
2017-08-25,4,3.9737,7.2329,0.2357,0.1922,0.7174,0.6051,0.3694,0.0255,1.64,Positive,0.2525,0.25
2017-08-26,3,4.3851,6.6509,0.5349,0.548,0.4877,0.6049,0.07,0.325,8.63,Very Positive,0.4863,0.6667
2017-08-28,3,7.186,4.6711,0.2565,0.1535,0.4871,0.3584,0.1019,0.5396,3.51,Positive,0.2482,0.3333
2017-08-29,2,2.5094,4.1528,0.8346,0.8463,0.0892,0.9114,0.0768,0.0117,11.85,Very Positive,0.586,0.0
2017-08-30,2,4.5829,4.174,0.5995,0.5829,0.1757,0.678,0.0785,0.2435,8.63,Very Positive,0.5564,0.5
2017-08-31,2,6.6973,2.3651,0.542,0.5592,0.0982,0.7645,0.2225,0.0131,3.43,Very Positive,0.2271,1.0
2017-09-01,5,5.6632,7.2945,0.196,0.5549,0.7072,0.5067,0.3107,0.1826,1.63,Very Positive,0.2499,0.4
2017-09-02,1,8.4361,3.5074,-0.4805,-0.4805,,0.2066,0.6871,0.1063,0.3,Very Negative,0.5519,1.0
2017-09-03,3,7.755,5.1482,0.6351,0.6495,0.2081,0.7452,0.1101,0.1447,6.76,Very Positive,0.3696,0.6667
2017-09-04,3,15.5301,12.6204,-0.3078,-0.0506,0.9476,0.3167,0.6245,0.0588,0.51,Neutral,0.5572,1.0
2017-09-05,2,11.448,5.2766,0.3548,0.1897,0.4858,0.3835,0.0286,0.5879,13.36,Positive,0.4479,0.5
2017-09-07,1,1.2447,4.4232,-0.0001,-0.0001,,0.0793,0.0794,0.8414,1.0,Neutral,0.9333,0.0
2017-09-08,2,24.791,14.3714,0.7017,0.7646,0.2168,0.7855,0.0839,0.1306,9.35,Very Positive,1.3992,0.5
2017-09-09,3,10.9836,10.892,-0.1374,-0.0825,0.6356,0.2763,0.4137,0.31,0.67,Neutral,0.5816,0.0
2017-09-10,1,9.7437,1.6524,-0.6918,-0.6918,,0.1501,0.842,0.0079,0.18,Very Negative,0.3541,0.0
2017-09-11,3,3.5483,5.4917,-0.1645,0.0199,0.3979,0.1196,0.284,0.5964,0.42,Neutral,0.4813,1.0
2017-09-12,3,11.5984,6.3449,0.3861,0.3355,0.3388,0.5297,0.1436,0.3267,3.69,Very Positive,0.3857,0.3333
2017-09-13,5,8.8739,19.6137,0.5223,0.5479,0.3794,0.5849,0.0626,0.3525,9.33,Very Positive,0.8007,0.6
2017-09-14,4,21.5765,21.3789,0.331,0.2491,0.6684,0.5074,0.1764,0.3163,2.87,Positive,1.174,0.5
2017-09-15,7,20.3661,62.6255,0.251,0.4811,0.316,0.2781,0.0271,0.6948,10.22,Very Positive,2.0989,0.4286
2017-09-16,1,10.5247,2.4766,0.594,0.594,,0.7933,0.1994,0.0073,3.98,Very Positive,0.2762,1.0
2017-09-18,6,10.4216,18.8857,0.5492,0.5898,0.4283,0.7195,0.1703,0.1102,4.22,Very Positive,0.699,0.5
2017-09-19,5,11.2644,10.0153,0.2969,0.274,0.5302,0.6245,0.3277,0.0478,1.91,Positive,0.297,0.8
2017-09-20,4,14.3838,8.8177,0.2092,0.1079,0.6523,0.4416,0.2324,0.3259,1.9,Positive,0.4958,0.5
2017-09-21,2,17.3947,5.7277,0.3397,0.1401,0.8103,0.4943,0.1546,0.3511,3.2,Positive,0.4882,0.5
2017-09-22,7,8.5306,13.3479,0.5754,0.61,0.2662,0.7101,0.1346,0.1553,5.27,Very Positive,0.2946,0.5714
2017-09-23,3,5.2777,5.2945,0.8008,0.7893,0.1092,0.848,0.0472,0.1047,17.93,Very Positive,0.3872,0.3333
2017-09-24,2,1.3802,1.6932,0.8583,0.8606,0.0032,0.9034,0.0451,0.0515,19.99,Very Positive,0.2414,0.0
2017-09-25,5,9.4456,10.1087,0.5135,0.4738,0.2932,0.6565,0.143,0.2004,4.59,Very Positive,0.3694,0.8
2017-09-26,3,4.2779,6.2639,0.6526,0.641,0.1768,0.7669,0.1143,0.1187,6.7,Very Positive,0.4741,0.3333
2017-09-27,6,9.5461,11.4164,0.5869,0.6448,0.1904,0.7236,0.1367,0.1397,5.29,Very Positive,0.3723,0.3333
2017-09-28,5,4.9013,9.4083,0.7052,0.7197,0.2693,0.7828,0.0776,0.1397,10.07,Very Positive,0.3725,0.6
2017-09-29,5,14.0276,12.1426,0.1301,0.3165,0.6062,0.4425,0.3124,0.2451,1.42,Very Positive,0.3954,0.2
2017-09-30,2,6.2122,1.7042,0.7591,0.7741,0.151,0.8121,0.0531,0.1348,15.27,Very Positive,0.157,1.0
2017-10-01,1,7.3931,1.1011,0.7183,0.7183,,0.8525,0.1342,0.0134,6.35,Very Positive,0.0248,0.0
2017-10-03,1,4.3059,1.4193,-0.3059,-0.3059,,0.337,0.6429,0.0201,0.52,Very Negative,0.1419,0.0
2017-10-04,3,10.2181,4.0853,0.5825,0.6201,0.3956,0.6089,0.0264,0.3646,22.98,Very Positive,0.1046,0.3333
2017-10-05,2,2.1946,2.3032,0.5022,0.6897,0.5327,0.7282,0.2259,0.0459,3.22,Very Positive,0.2995,0.5
2017-10-06,6,4.3033,7.6383,0.4594,0.45,0.5607,0.6721,0.2128,0.1151,3.16,Very Positive,0.2003,0.5
2017-10-07,3,2.098,2.579,0.6125,0.7152,0.3791,0.6768,0.0643,0.259,10.51,Very Positive,0.0659,0.6667
2017-10-09,3,6.7483,4.3707,0.8114,0.7922,0.148,0.8529,0.0415,0.1056,20.5,Very Positive,0.3378,0.6667
2017-10-10,5,18.4427,9.4379,0.3694,0.5044,0.4612,0.4956,0.1262,0.3782,3.92,Very Positive,0.3182,0.4
2017-10-11,8,3.8058,6.2908,0.5938,0.4797,0.3414,0.7245,0.1308,0.1447,5.53,Very Positive,0.1773,0.625
2017-10-12,13,13.9409,26.1842,0.3842,0.1464,0.624,0.6459,0.2617,0.0925,2.47,Positive,0.4206,0.5385
2017-10-13,6,12.2741,9.5235,0.4807,0.4798,0.5308,0.7309,0.2502,0.0189,2.92,Very Positive,0.2401,0.5
2017-10-14,3,6.681,3.0183,0.1941,-0.1525,0.958,0.5813,0.3873,0.0314,1.5,Negative,0.1832,1.0
2017-10-16,3,5.4347,2.342,0.3744,0.557,0.3465,0.5535,0.1791,0.2673,3.09,Very Positive,0.1742,0.3333
2017-10-17,5,18.118,9.1424,0.5492,0.6027,0.395,0.752,0.2028,0.0452,3.71,Very Positive,0.4689,0.6
2017-10-18,3,15.2319,4.8059,0.3941,0.4344,0.4505,0.4304,0.0363,0.5333,11.82,Very Positive,0.4348,0.6667
2017-10-19,2,24.9246,4.3332,0.3054,0.403,0.8626,0.5836,0.2783,0.1381,2.1,Very Positive,0.2484,0.5
2017-10-20,5,14.7678,6.9961,0.3147,0.3064,0.7242,0.558,0.2433,0.1987,2.29,Very Positive,0.3076,0.8
2017-10-21,4,21.5672,7.4553,0.1134,0.162,0.6395,0.5254,0.412,0.0626,1.27,Positive,0.4564,0.75
2017-10-23,4,19.287,4.791,0.5922,0.5566,0.3728,0.6867,0.0945,0.2189,7.26,Very Positive,0.216,0.0
2017-10-24,9,25.0818,18.8828,0.6,0.4938,0.3226,0.6786,0.0786,0.2428,8.62,Very Positive,0.4266,0.3333
2017-10-25,8,22.6381,12.5318,0.4585,0.2414,0.6181,0.6852,0.2267,0.0881,3.02,Positive,0.353,0.625
2017-10-26,8,25.2827,10.0933,0.2815,0.4168,0.6486,0.5091,0.2276,0.2632,2.24,Very Positive,0.2536,0.625
2017-10-27,9,15.3368,22.3444,0.4208,0.3674,0.4335,0.5982,0.1774,0.2244,3.37,Very Positive,0.5537,0.6667
2017-10-28,5,21.3719,7.5031,0.4807,0.492,0.4321,0.6462,0.1655,0.1882,3.9,Very Positive,0.3377,0.4
2017-10-30,6,13.712,7.9828,0.2027,-0.1063,0.8283,0.5546,0.3519,0.0935,1.58,Negative,0.298,0.1667
2017-10-31,11,16.1613,14.0906,0.285,0.0194,0.6278,0.5457,0.2608,0.1935,2.09,Neutral,0.308,0.5455
2017-11-01,9,18.2618,9.6007,0.1833,-0.0232,0.7362,0.5077,0.3245,0.1678,1.56,Neutral,0.1932,0.4444
2017-11-02,9,27.5196,21.2684,0.1775,-0.0838,0.6191,0.4888,0.3113,0.2,1.57,Neutral,0.4793,0.5556
2017-11-03,7,25.6467,15.0685,0.5298,0.5859,0.5206,0.7258,0.196,0.0781,3.7,Very Positive,0.3658,0.1429
2017-11-04,2,16.0269,2.7641,0.7042,0.6899,0.0423,0.7838,0.0796,0.1366,9.83,Very Positive,0.1404,0.5
2017-11-05,3,14.8721,4.9611,0.6167,0.7419,0.4381,0.7612,0.1445,0.0943,5.26,Very Positive,0.3619,0.6667
2017-11-06,6,17.5285,11.5044,0.0877,-0.0576,0.6646,0.4331,0.3454,0.2215,1.25,Neutral,0.4346,0.5
2017-11-07,10,14.0774,10.9864,0.4227,0.4219,0.4534,0.597,0.1743,0.2288,3.42,Very Positive,0.2271,0.5
2017-11-08,8,21.3255,19.3065,0.6178,0.5939,0.3661,0.6817,0.0639,0.2545,10.65,Very Positive,0.5727,0.625
2017-11-09,10,13.4711,13.0274,0.4004,0.4277,0.5751,0.5968,0.1964,0.2069,3.04,Very Positive,0.2145,0.4
2017-11-10,8,30.6787,40.5832,-0.014,-0.0687,0.6348,0.3117,0.3257,0.3626,0.96,Neutral,1.3252,0.5
2017-11-11,7,28.6849,21.0755,0.0113,-0.0239,0.6818,0.3933,0.3819,0.2248,1.03,Neutral,0.6433,0.5714
2017-11-12,2,41.0905,15.9958,-0.1,-0.0853,0.1234,0.0559,0.1559,0.7882,0.36,Neutral,1.4042,0.0
2017-11-13,8,27.9339,26.784,0.6266,0.6071,0.3048,0.7588,0.1322,0.109,5.74,Very Positive,0.4853,0.75
2017-11-14,12,11.7771,24.3143,0.3625,0.3225,0.5656,0.6031,0.2406,0.1563,2.51,Very Positive,0.3598,0.75
2017-11-15,9,21.2051,17.5621,0.599,0.6305,0.5168,0.7501,0.1511,0.0987,4.96,Very Positive,0.41,0.5556
2017-11-16,10,19.1927,17.5326,0.1068,0.1801,0.56,0.4382,0.3313,0.2305,1.32,Positive,0.3402,0.6
2017-11-17,13,44.2284,29.2343,0.5326,0.5064,0.4855,0.7051,0.1725,0.1224,4.09,Very Positive,0.3176,0.5385
2017-11-18,7,38.4109,11.8964,0.2624,0.3189,0.3028,0.4072,0.1448,0.4479,2.81,Very Positive,0.2592,0.5714
2017-11-19,4,51.1745,3.429,0.599,0.6397,0.3943,0.6758,0.0768,0.2473,8.79,Very Positive,0.1583,0.75
2017-11-20,14,37.3483,15.4613,0.3615,0.3486,0.6036,0.5605,0.199,0.2404,2.82,Very Positive,0.2545,0.7857
2017-11-21,13,48.6231,25.7904,0.4955,0.5405,0.4953,0.6705,0.175,0.1545,3.83,Very Positive,0.3631,0.4615
2017-11-22,10,26.3865,10.114,0.4483,0.5234,0.5672,0.6465,0.1982,0.1554,3.26,Very Positive,0.1078,0.5
2017-11-23,9,38.1857,11.1581,0.0378,0.1264,0.5116,0.3095,0.2717,0.4188,1.14,Positive,0.282,0.3333
2017-11-24,7,37.0336,7.7611,0.2038,0.2791,0.4984,0.5382,0.3344,0.1274,1.61,Positive,0.2064,0.7143
2017-11-25,6,37.3113,6.9762,0.1317,0.1537,0.7255,0.559,0.4273,0.0136,1.31,Positive,0.1887,0.8333
2017-11-26,8,57.4805,12.8082,0.3522,0.5084,0.5729,0.5827,0.2305,0.1868,2.53,Very Positive,0.2872,0.625
2017-11-27,13,44.7769,12.5701,0.2955,0.3495,0.5893,0.5702,0.2747,0.1551,2.07,Very Positive,0.1652,0.6154
2017-11-28,14,54.4586,17.4562,0.3678,0.3543,0.5696,0.6459,0.2781,0.076,2.32,Very Positive,0.2502,0.5
2017-11-29,11,142.097,69.0111,0.0905,-0.1871,0.6659,0.4213,0.3308,0.248,1.27,Negative,1.3418,0.4545
2017-11-30,18,88.3039,75.1699,0.5782,0.5577,0.3834,0.7136,0.1354,0.1509,5.27,Very Positive,0.745,0.5556
2017-12-01,18,55.9344,41.1055,0.6187,0.5769,0.5382,0.7833,0.1646,0.0521,4.76,Very Positive,0.401,0.3333
2017-12-02,6,57.4406,13.0104,0.1514,0.1951,0.6742,0.4404,0.289,0.2705,1.52,Positive,0.3536,0.3333
2017-12-03,8,61.501,27.3091,0.3248,0.6109,0.6522,0.6344,0.3096,0.056,2.05,Very Positive,0.6325,0.625
2017-12-04,8,45.0542,20.4712,0.4988,0.3654,0.5794,0.6895,0.1907,0.1199,3.61,Very Positive,0.5853,0.5
2017-12-05,13,59.4922,21.5765,0.6395,0.6516,0.325,0.7249,0.0854,0.1896,8.48,Very Positive,0.3215,0.3077
2017-12-06,15,76.7346,58.2826,0.2469,0.216,0.5964,0.5721,0.3252,0.1027,1.76,Positive,0.8501,0.8
2017-12-07,12,77.7045,47.4379,0.3849,0.5428,0.6761,0.6509,0.2661,0.083,2.45,Very Positive,0.6316,0.6667
2017-12-08,15,214.4147,91.84,0.2662,0.2763,0.5871,0.4932,0.227,0.2798,2.17,Positive,1.2838,0.7333
2017-12-09,10,159.8427,69.8644,0.5566,0.4102,0.4335,0.7267,0.1702,0.1031,4.27,Very Positive,1.4037,0.5
2017-12-10,4,121.8575,23.7242,0.3926,0.377,0.3285,0.4812,0.0886,0.4302,5.43,Very Positive,0.9287,0.5
2017-12-11,11,125.0375,41.6217,0.1617,0.1264,0.7566,0.5319,0.3702,0.0979,1.44,Positive,0.7442,0.4545
2017-12-12,15,93.4978,35.9379,0.2369,0.3271,0.5748,0.4981,0.2612,0.2408,1.91,Very Positive,0.4747,0.3333
2017-12-13,15,122.3874,56.3124,0.2623,0.2914,0.6152,0.5156,0.2533,0.2311,2.03,Positive,0.754,0.5333
2017-12-14,14,110.4502,27.5726,0.4894,0.5487,0.5504,0.683,0.1935,0.1235,3.53,Very Positive,0.3266,0.3571
