date,news_count,avg_volume,total_engagement_weight,sentiment_mean,weighted_sentiment_mean,sentiment_std,positive_mean,negative_mean,neutral_mean,pos_neg_ratio,sentiment_category,avg_price_change,up_ratio
2017-08-17,1,49.4488,1.5866,0.8159,0.8159,,0.9013,0.0854,0.0134,10.54,Very Positive,0.4116,1.0
2017-08-18,2,86.762,5.1174,0.8718,0.9033,0.0713,0.9221,0.0503,0.0276,18.3,Very Positive,0.7279,0.5
2017-08-19,1,11.1759,2.6863,0.8351,0.8351,,0.912,0.0769,0.0111,11.84,Very Positive,0.7675,1.0
2017-08-22,1,27.2303,3.3833,0.7423,0.7423,,0.8668,0.1246,0.0086,6.95,Very Positive,0.8773,1.0
2017-08-23,3,58.4691,5.3731,0.8273,0.797,0.113,0.9027,0.0754,0.0219,11.96,Very Positive,0.1511,0.3333
2017-08-24,1,51.7915,1.2023,0.6221,0.6221,,0.8076,0.1855,0.0069,4.35,Very Positive,0.0031,0.0
2017-08-25,3,56.626,7.8023,0.4248,0.3781,0.465,0.6332,0.2084,0.1584,3.04,Very Positive,0.5094,0.3333
2017-08-26,1,41.5316,2.8474,0.7285,0.7285,,0.86,0.1315,0.0085,6.53,Very Positive,0.8106,0.0
2017-08-29,3,31.2181,8.1666,0.1879,-0.0732,0.8715,0.5808,0.3929,0.0263,1.48,Neutral,0.5729,0.6667
2017-08-30,1,40.9339,1.7376,0.2095,0.2095,,0.2932,0.0837,0.6231,3.5,Positive,0.4853,0.0
2017-08-31,1,64.8122,1.4843,0.8911,0.8911,,0.9355,0.0444,0.0201,21.02,Very Positive,0.0416,0.0
2017-09-01,1,77.8924,1.8857,0.898,0.898,,0.9331,0.0351,0.0317,26.51,Very Positive,0.5067,0.0
2017-09-03,1,54.6735,2.6535,0.8348,0.8348,,0.9115,0.0767,0.0117,11.87,Very Positive,0.6092,0.0
2017-09-04,1,57.0249,5.9885,0.7841,0.7841,,0.884,0.0999,0.0161,8.84,Very Positive,0.9995,1.0
2017-09-06,1,0.0,0.0,0.4816,0.4816,,0.729,0.2474,0.0236,2.95,Very Positive,0.0,0.0
2017-09-07,1,8.887,0.0,0.3605,0.3605,,0.6711,0.3106,0.0183,2.16,Very Positive,0.0,0.0
2017-09-08,1,6.009,5.4318,0.908,0.908,,0.9452,0.0371,0.0177,25.41,Very Positive,1.4965,1.0
2017-09-09,4,16.3227,2.4285,0.5172,0.3015,0.2696,0.7533,0.2361,0.0106,3.19,Very Positive,0.0462,0.0
2017-09-10,1,15.1886,2.4065,0.5939,0.5939,,0.7924,0.1985,0.0092,3.99,Very Positive,0.6512,1.0
2017-09-12,2,121.9387,3.6667,-0.0011,0.4175,1.0655,0.4948,0.4959,0.0093,1.0,Very Positive,0.1939,1.0
2017-09-13,1,41.135,5.6661,0.6021,0.6021,,0.797,0.1949,0.0081,4.09,Very Positive,1.273,1.0
2017-09-14,2,254.5577,16.7178,0.7074,0.7232,0.1976,0.8475,0.1401,0.0124,6.04,Very Positive,1.7343,0.5
2017-09-15,2,196.3672,15.374,0.8595,0.8333,0.0696,0.9191,0.0596,0.0214,15.4,Very Positive,1.3727,0.0
2017-09-16,1,65.4481,5.1988,0.594,0.594,,0.7933,0.1994,0.0073,3.98,Very Positive,0.7952,1.0
2017-09-17,1,54.1249,2.7341,0.9102,0.9102,,0.9373,0.0272,0.0355,34.33,Very Positive,0.1409,0.0
2017-09-18,1,47.6103,3.7697,0.9205,0.9205,,0.9445,0.024,0.0315,39.19,Very Positive,1.0646,0.0
2017-09-19,2,9.2488,1.8416,0.866,0.898,0.0453,0.9269,0.0609,0.0122,15.2,Very Positive,0.0829,0.0
2017-09-20,1,22.553,0.3177,0.9092,0.9093,,0.9465,0.0373,0.0162,25.31,Very Positive,0.0892,0.0
2017-09-21,2,74.1902,10.5096,0.8114,0.7704,0.1432,0.8983,0.0869,0.0148,10.33,Very Positive,1.3284,0.5
2017-09-22,2,9.064,2.7452,0.3647,0.5676,0.2869,0.4797,0.1149,0.4054,4.17,Very Positive,0.3922,0.5
2017-09-23,1,57.5846,1.9658,0.4864,0.4864,,0.7381,0.2517,0.0102,2.93,Very Positive,0.4062,0.0
2017-09-24,2,28.6669,2.0909,0.7422,0.7226,0.2216,0.8629,0.1207,0.0164,7.14,Very Positive,0.0359,0.0
2017-09-26,2,100.7337,3.4378,0.4754,0.5273,0.4724,0.5401,0.0647,0.3951,8.33,Very Positive,0.1581,1.0
2017-09-27,1,115.1513,2.7503,0.8508,0.8508,,0.9201,0.0693,0.0105,13.26,Very Positive,0.783,0.0
2017-09-28,3,174.3282,6.5664,0.7267,0.766,0.1232,0.8043,0.0777,0.118,10.34,Very Positive,0.5539,0.0
2017-09-29,4,69.093,11.4657,0.7211,0.6121,0.229,0.8515,0.1304,0.0181,6.52,Very Positive,0.7463,0.5
2017-09-30,1,36.2871,0.6657,0.8658,0.8657,,0.9254,0.0596,0.015,15.5,Very Positive,0.0033,0.0
2017-10-01,1,15.859,0.1595,0.8748,0.8746,,0.9305,0.0558,0.0137,16.65,Very Positive,0.0,0.0
2017-10-03,1,35.03,1.2243,0.6282,0.6282,,0.8006,0.1724,0.0271,4.64,Very Positive,0.0445,0.0
2017-10-04,3,34.9645,4.8954,0.4485,0.5469,0.4035,0.6099,0.1614,0.2287,3.78,Very Positive,0.4178,0.6667
2017-10-05,1,36.1459,1.8279,0.7628,0.7628,,0.8744,0.1116,0.014,7.83,Very Positive,0.521,0.0
2017-10-06,1,36.168,0.9701,0.3608,0.3608,,0.6772,0.3165,0.0063,2.14,Very Positive,0.2739,0.0
2017-10-07,3,24.8362,4.8061,0.1325,0.3371,0.6822,0.391,0.2584,0.3506,1.51,Very Positive,0.2405,0.0
2017-10-09,2,43.2325,6.5369,0.7173,0.7218,0.0091,0.8489,0.1316,0.0195,6.45,Very Positive,0.7294,0.5
2017-10-10,2,84.2622,3.9321,-0.2891,-0.116,0.4418,0.3418,0.6309,0.0273,0.54,Negative,0.3652,0.5
2017-10-11,5,17.9323,5.974,0.7454,0.8557,0.2542,0.8539,0.1085,0.0376,7.86,Very Positive,0.2339,0.4
2017-10-12,5,65.4749,6.3124,0.4997,0.5726,0.7119,0.7372,0.2375,0.0253,3.1,Very Positive,0.258,0.4
2017-10-13,3,114.1221,7.5451,-0.0672,-0.029,0.34,0.3372,0.4044,0.2584,0.83,Neutral,0.3605,0.3333
2017-10-14,3,61.2944,6.0138,0.5818,0.5874,0.4769,0.6287,0.0469,0.3244,13.38,Very Positive,0.3542,0.0
2017-10-15,1,70.1157,1.5671,0.918,0.918,,0.9454,0.0273,0.0273,34.5,Very Positive,0.2849,0.0
2017-10-16,5,54.4791,6.4611,0.4312,0.6069,0.6278,0.7054,0.2742,0.0204,2.57,Very Positive,0.2776,0.6
2017-10-17,4,82.7215,10.9112,0.7537,0.7816,0.15,0.8209,0.0672,0.1119,12.2,Very Positive,0.6077,0.5
2017-10-18,7,154.734,14.7442,0.7744,0.7577,0.0549,0.8713,0.097,0.0317,8.97,Very Positive,0.3912,0.4286
2017-10-19,3,45.6868,7.1191,0.8101,0.8547,0.1392,0.8987,0.0885,0.0128,10.14,Very Positive,0.4473,0.6667
2017-10-20,2,147.5036,2.425,0.1706,-0.2911,1.0392,0.5762,0.4056,0.0182,1.42,Negative,0.0627,0.5
2017-10-22,1,110.5597,2.7909,0.819,0.819,,0.9044,0.0854,0.0101,10.58,Very Positive,0.6601,1.0
2017-10-23,1,67.4144,1.2528,0.8908,0.8908,,0.9273,0.0364,0.0363,25.41,Very Positive,0.054,1.0
2017-10-24,1,94.0611,4.4147,0.7321,0.7321,,0.8616,0.1295,0.009,6.65,Very Positive,0.9769,0.0
2017-10-25,2,115.542,4.9045,0.6944,0.697,0.161,0.8409,0.1465,0.0126,5.74,Very Positive,0.2349,0.5
2017-10-26,6,88.3307,8.6036,0.4297,0.3658,0.6196,0.638,0.2082,0.1538,3.06,Very Positive,0.3171,0.3333
2017-10-27,1,93.4739,1.5821,0.8809,0.8809,,0.9339,0.053,0.0131,17.59,Very Positive,0.3844,0.0
2017-10-28,1,130.3315,1.781,0.8175,0.8175,,0.9008,0.0833,0.0159,10.8,Very Positive,0.4455,0.0
2017-10-30,2,86.244,2.6226,0.2745,0.3087,0.328,0.6319,0.3574,0.0107,1.77,Very Positive,0.216,0.0
2017-10-31,2,126.1705,1.8092,0.8063,0.789,0.0799,0.8977,0.0914,0.0109,9.81,Very Positive,0.0895,0.5
2017-11-01,3,63.4449,2.8573,0.3846,0.3825,0.3496,0.6823,0.2976,0.0201,2.29,Very Positive,0.1679,0.3333
2017-11-02,4,100.3216,10.2361,0.3187,0.3299,0.4656,0.6535,0.3348,0.0117,1.95,Very Positive,0.1979,0.0
2017-11-03,3,79.3748,5.1383,0.8211,0.8498,0.0462,0.9034,0.0823,0.0143,10.96,Very Positive,0.2951,0.3333
2017-11-04,2,73.1068,2.8317,0.1948,-0.1764,0.9117,0.5803,0.3854,0.0343,1.51,Negative,0.3202,1.0
2017-11-06,3,52.461,6.1397,0.4695,0.6108,0.3935,0.5731,0.1036,0.3234,5.53,Very Positive,0.4434,0.3333
2017-11-07,4,83.8208,7.3364,0.4956,0.5408,0.3541,0.6254,0.1298,0.2448,4.81,Very Positive,0.3433,0.5
2017-11-08,2,90.6699,5.2926,-0.1646,-0.3991,1.0091,0.3113,0.4758,0.2129,0.65,Very Negative,0.72,0.0
2017-11-09,4,84.097,10.2938,0.3193,0.5784,0.7966,0.546,0.2267,0.2273,2.41,Very Positive,0.6099,0.75
2017-11-10,1,185.6883,1.7612,0.7245,0.7246,,0.849,0.1245,0.0265,6.81,Very Positive,0.0959,0.0
2017-11-11,3,97.4031,9.0028,0.0678,-0.0065,0.8249,0.4704,0.4026,0.127,1.17,Neutral,0.6032,0.3333
2017-11-12,1,229.1105,4.2258,0.8887,0.8887,,0.9385,0.0499,0.0116,18.77,Very Positive,0.9998,0.0
2017-11-13,2,336.7009,4.7043,0.0989,0.1657,0.9823,0.5153,0.4164,0.0683,1.24,Positive,0.2784,0.5
2017-11-15,3,195.0923,5.4203,0.5722,0.4857,0.5098,0.5979,0.0257,0.3764,23.17,Very Positive,0.3176,0.3333
2017-11-16,4,86.9274,7.2745,0.6333,0.5716,0.3464,0.8104,0.1771,0.0125,4.57,Very Positive,0.4047,0.5
2017-11-17,2,85.6903,2.6158,0.4153,0.4984,0.7028,0.6964,0.2811,0.0226,2.48,Very Positive,0.2093,0.0
