date,tweet_count,total_retweets,sentiment_mean,weighted_sentiment_mean,sentiment_std,positive_mean,negative_mean,pos_neg_ratio,sentiment_category
2019-03-30,103,5717.0,0.1367,0.0426,0.3954,0.0715,0.0309,2.31,Neutral
2019-03-31,83,2931.0,0.0818,0.1214,0.3251,0.0562,0.0286,1.96,Positive
2019-04-01,141,10234.0,0.1776,0.4774,0.39,0.0771,0.0281,2.73,Positive
2019-04-02,245,6715.0,0.1476,0.2878,0.368,0.0669,0.0279,2.39,Positive
2019-04-03,215,6686.0,0.1043,0.0993,0.3825,0.0605,0.0348,1.73,Neutral
2019-04-04,169,4239.0,0.1396,0.2443,0.366,0.0724,0.0288,2.51,Positive
2019-04-05,189,6990.0,0.1357,-0.0181,0.3668,0.0663,0.0231,2.86,Neutral
2019-04-06,135,3802.0,0.1464,0.2379,0.3334,0.0554,0.0185,2.98,Positive
2019-04-07,149,3893.0,0.102,0.1439,0.3762,0.0551,0.0192,2.85,Positive
2019-04-08,221,3791.0,0.107,0.204,0.3587,0.0576,0.0271,2.12,Positive
2019-04-09,167,4986.0,0.2002,0.3083,0.4024,0.0844,0.0281,2.99,Positive
2019-04-10,174,3265.0,0.162,0.239,0.4224,0.0746,0.0324,2.3,Positive
2019-04-11,183,6089.0,0.1118,0.2118,0.3919,0.0704,0.033,2.13,Positive
2019-04-12,145,6044.0,0.0805,0.1992,0.3928,0.0614,0.0428,1.43,Positive
2019-04-13,150,3833.0,0.1092,0.2555,0.3663,0.0642,0.0352,1.82,Positive
2019-04-14,113,2136.0,0.06,-0.1846,0.3748,0.0529,0.0348,1.52,Negative
2019-04-15,179,11933.0,0.1537,0.1853,0.3854,0.0719,0.0291,2.46,Positive
2019-04-16,153,4872.0,0.0891,-0.0005,0.3666,0.0566,0.0325,1.74,Neutral
2019-04-17,185,5530.0,0.2038,0.2409,0.3906,0.0801,0.0257,3.1,Positive
2019-04-18,183,7101.0,0.1551,0.1128,0.4093,0.0753,0.0297,2.53,Positive
2019-04-19,139,5438.0,0.1232,0.0722,0.3635,0.0601,0.0268,2.23,Neutral
2019-04-20,181,4525.0,0.1561,0.2148,0.3989,0.0794,0.0256,3.09,Positive
2019-04-21,249,3424.0,0.1521,0.2687,0.399,0.0827,0.0323,2.55,Positive
2019-04-22,179,5996.0,0.1709,0.3892,0.4295,0.0821,0.0374,2.19,Positive
2019-04-23,223,7388.0,0.1457,0.1566,0.4066,0.0719,0.0311,2.3,Positive
2019-04-24,204,7595.0,0.1391,0.1071,0.4164,0.0766,0.0386,1.98,Positive
2019-04-25,217,5586.0,0.1684,0.2516,0.3833,0.0795,0.0301,2.63,Positive
2019-04-26,181,10373.0,0.149,0.2909,0.4108,0.0792,0.0365,2.16,Positive
2019-04-27,153,7365.0,0.1379,0.4337,0.4201,0.0754,0.0359,2.09,Positive
2019-04-28,151,8170.0,0.1118,0.1705,0.4188,0.0654,0.0347,1.88,Positive
2019-04-29,237,10471.0,0.1457,0.3394,0.4002,0.0759,0.0318,2.38,Positive
2019-04-30,187,6406.0,0.2103,0.2069,0.3845,0.073,0.02,3.63,Positive
2019-05-01,206,8755.0,0.2057,0.0889,0.3616,0.0798,0.0281,2.83,Neutral
2019-05-02,250,9953.0,0.2118,0.2163,0.3819,0.0882,0.0281,3.13,Positive
2019-05-03,277,5196.0,0.175,0.1088,0.4382,0.0909,0.0376,2.41,Positive
2019-05-04,211,8127.0,0.1305,0.244,0.418,0.0732,0.0458,1.59,Positive
2019-05-05,226,11584.0,0.1637,0.0262,0.4412,0.0848,0.0443,1.91,Neutral
2019-05-06,298,7302.0,0.1688,0.2732,0.3953,0.078,0.0318,2.45,Positive
2019-05-07,370,12470.0,0.1768,0.1462,0.4174,0.0877,0.036,2.43,Positive
2019-05-08,472,13218.0,0.102,-0.0045,0.4602,0.0867,0.058,1.49,Neutral
2019-05-09,481,11255.0,0.1729,0.2362,0.4338,0.0914,0.0457,2.0,Positive
2019-05-10,3475,36940.0,0.1341,0.1312,0.4183,0.0865,0.0457,1.89,Positive
2019-05-11,6557,60826.0,0.1415,0.1556,0.4136,0.0906,0.0443,2.04,Positive
2019-05-12,6123,46925.0,0.1385,0.1188,0.4111,0.0843,0.0426,1.97,Positive
2019-05-13,7688,62790.0,0.1374,0.1697,0.4015,0.0863,0.0425,2.03,Positive
2019-05-14,6016,43903.0,0.1562,0.1768,0.4048,0.0872,0.0378,2.3,Positive
2019-05-15,5533,32717.0,0.1573,0.2023,0.4036,0.0857,0.0396,2.16,Positive
2019-05-16,4617,30392.0,0.1424,0.1234,0.4163,0.0855,0.0437,1.95,Positive
2019-05-17,4709,25960.0,0.1227,0.1403,0.4206,0.0836,0.0496,1.68,Positive
2019-05-18,3474,19039.0,0.1371,0.1744,0.4161,0.0815,0.0416,1.95,Positive
2019-05-19,4383,24771.0,0.1517,0.1774,0.4161,0.0863,0.0395,2.18,Positive
2019-05-20,4032,26448.0,0.1333,0.1532,0.4154,0.0838,0.0452,1.85,Positive
2019-05-21,4863,29455.0,0.1335,0.1567,0.4238,0.0849,0.0463,1.83,Positive
2019-05-22,4736,31256.0,0.1861,0.2371,0.4309,0.0956,0.0408,2.34,Positive
2019-05-23,4376,23805.0,0.161,0.1759,0.4108,0.0884,0.0388,2.27,Positive
2019-05-24,4324,27248.0,0.1611,0.1717,0.4175,0.0888,0.0399,2.22,Positive
2019-05-25,3552,21736.0,0.1407,0.1588,0.4324,0.0883,0.0445,1.98,Positive
2019-05-26,4130,21810.0,0.1432,0.1097,0.4084,0.0857,0.0423,2.02,Positive
2019-05-27,4737,29685.0,0.1462,0.1504,0.409,0.0822,0.0392,2.09,Positive
2019-05-28,5226,29044.0,0.1586,0.1893,0.3953,0.0825,0.0348,2.36,Positive
2019-05-29,4404,26864.0,0.1565,0.1934,0.4114,0.088,0.0397,2.21,Positive
2019-05-30,5205,28629.0,0.1329,0.215,0.4114,0.0852,0.0466,1.82,Positive
2019-05-31,4465,23573.0,0.1324,0.1377,0.4216,0.084,0.0471,1.78,Positive
2019-06-01,3103,18156.0,0.1571,0.1983,0.404,0.0856,0.037,2.31,Positive
2019-06-02,3404,17289.0,0.156,0.1606,0.4079,0.0864,0.0408,2.11,Positive
