date,tweet_count,total_likes,total_retweets,total_engagement_weight,sentiment_mean,weighted_sentiment_mean,sentiment_std,positive_mean,negative_mean,pos_neg_ratio,sentiment_category
2019-03-30,103,41888.0,5717.0,47605.0,0.1367,0.0076,0.3954,0.0715,0.0309,2.31,Neutral
2019-03-31,83,10959.0,2931.0,13890.0,0.0818,0.1356,0.3251,0.0562,0.0286,1.96,Positive
2019-04-01,141,15717.0,10234.0,25951.0,0.1776,0.4018,0.39,0.0771,0.0281,2.73,Positive
2019-04-02,245,21767.0,6715.0,28482.0,0.1476,0.2871,0.368,0.0669,0.0279,2.39,Positive
2019-04-03,215,27149.0,6686.0,33835.0,0.1043,0.0947,0.3825,0.0605,0.0348,1.73,Neutral
2019-04-04,169,13759.0,4239.0,17998.0,0.1396,0.2151,0.366,0.0724,0.0288,2.51,Positive
2019-04-05,189,21704.0,6990.0,28694.0,0.1357,-0.0137,0.3668,0.0663,0.0231,2.86,Neutral
2019-04-06,135,14185.0,3802.0,17987.0,0.1464,0.2435,0.3334,0.0554,0.0185,2.98,Positive
2019-04-07,149,14554.0,3893.0,18447.0,0.102,0.1447,0.3762,0.0551,0.0192,2.85,Positive
2019-04-08,221,12703.0,3791.0,16494.0,0.107,0.2379,0.3587,0.0576,0.0271,2.12,Positive
2019-04-09,167,13027.0,4986.0,18013.0,0.2002,0.2327,0.4024,0.0844,0.0281,2.99,Positive
2019-04-10,174,8880.0,3265.0,12145.0,0.162,0.26,0.4224,0.0746,0.0324,2.3,Positive
2019-04-11,183,21926.0,6089.0,28015.0,0.1118,0.205,0.3919,0.0704,0.033,2.13,Positive
2019-04-12,145,19289.0,6044.0,25333.0,0.0805,0.1655,0.3928,0.0614,0.0428,1.43,Positive
2019-04-13,150,14929.0,3833.0,18762.0,0.1092,0.2801,0.3663,0.0642,0.0352,1.82,Positive
2019-04-14,113,6161.0,2136.0,8297.0,0.06,-0.2355,0.3748,0.0529,0.0348,1.52,Negative
2019-04-15,179,30558.0,11933.0,42491.0,0.1537,0.1236,0.3854,0.0719,0.0291,2.46,Positive
2019-04-16,153,14923.0,4872.0,19795.0,0.0891,-0.0819,0.3666,0.0566,0.0325,1.74,Neutral
2019-04-17,185,17089.0,5530.0,22619.0,0.2038,0.1826,0.3906,0.0801,0.0257,3.1,Positive
2019-04-18,183,23029.0,7101.0,30130.0,0.1551,0.0814,0.4093,0.0753,0.0297,2.53,Neutral
2019-04-19,139,15919.0,5438.0,21357.0,0.1232,0.0457,0.3635,0.0601,0.0268,2.23,Neutral
2019-04-20,181,14651.0,4525.0,19176.0,0.1561,0.1372,0.3989,0.0794,0.0256,3.09,Positive
2019-04-21,249,10876.0,3424.0,14300.0,0.1521,0.1937,0.399,0.0827,0.0323,2.55,Positive
2019-04-22,179,20710.0,5996.0,26706.0,0.1709,0.3727,0.4295,0.0821,0.0374,2.19,Positive
2019-04-23,223,22207.0,7388.0,29595.0,0.1457,0.1895,0.4066,0.0719,0.0311,2.3,Positive
2019-04-24,204,23576.0,7595.0,31171.0,0.1391,0.0662,0.4164,0.0766,0.0386,1.98,Neutral
2019-04-25,217,18359.0,5586.0,23945.0,0.1684,0.2612,0.3833,0.0795,0.0301,2.63,Positive
2019-04-26,181,22813.0,10373.0,33186.0,0.149,0.1769,0.4108,0.0792,0.0365,2.16,Positive
2019-04-27,153,19950.0,7365.0,27315.0,0.1379,0.4225,0.4201,0.0754,0.0359,2.09,Positive
2019-04-28,151,18609.0,8170.0,26779.0,0.1118,0.1612,0.4188,0.0654,0.0347,1.88,Positive
